account_number,aba,bic,opened,balance
OJAU78085493574753,122562251,ZGNGGB6H,2012-08-24,1680475
YFFT95211920827347,029295537,GEOXGBIJ87G,2009-04-14,606719
KIFL27710394988863,037685566,CYJIGB4EGHQ,2005-05-22,1510717
SDZR78780943964034,063520404,TUXSGBIZJMP,2002-01-30,524124
KSOB71714603578363,077175117,NSBYGBBEYC8,2008-12-11,764201
BBRK83671407539106,081553479,SHDZGBWI,2005-08-26,921175
LYIF56882779251945,120654404,IBFFGBJT,2018-07-04,27701
NWPQ69906940366244,058214217,FMTSGB5XREC,2017-08-09,438520
PITZ96637361136152,088955863,CBQQGBZ532A,2017-11-15,340900
IKRG57096856844256,030556825,EAMAGB4J,2003-05-11,134545
QXPC16056746164835,088093563,EZMHGBXU39L,2004-06-20,978595
OHRJ52916787369064,082532651,TJXBGBZC,2000-05-15,240063
VMXF17345214413722,118128476,VBAIGB8T,2015-09-04,1166277
QYNL16325059896232,124761665,FSJOGBZ0T9Z,2022-01-30,12428
OHKU65752262920704,021120286,HCNTGBLH,2019-12-03,1202697
WUWM73018228875947,125434027,GDHVGBSK,2001-06-08,636367
EDFC47017305510507,085912171,TRWPGB3X38H,2018-01-14,1575479
ACFJ65841299052674,031535052,FHEYGBU6QTU,2019-12-13,441502
AEGJ51418687383512,069010604,DYUEGBA0,2007-10-01,435980
OJIS10211413754511,043155239,HZBLGBX6FTO,2010-04-09,876530
NXCD01007242706607,045997220,BSKGGB689FN,2018-09-12,896364
IBGL54118446287858,028561385,JGZDGB9E,2015-07-09,1121527
DFES18619432447361,037890953,PGUDGBTWXPT,2002-03-07,1547333
NJBT81105985153515,013298171,TUGOGB4KQE5,2010-08-31,1788441
LIBH61763454615428,021438622,HFIHGBQX,2004-03-23,184810
XRBM18285813399379,082936710,QRAKGBVG,2015-04-13,670713
ZIIE67794796775911,115627446,ZNWBGB6NRC0,2019-05-16,1432335
YJFI42711185674911,086830540,YNSCGBTS,2004-04-16,1110324
IITA19716993294690,031010904,QTJAGB4R,2007-08-08,1607305
GPVP05720477273581,031824792,QEAJGBN9,2009-11-12,1657508
AENF47813803941746,019292029,RSSCGBBB,2007-11-14,20634
IYHW46304019686113,116183060,LKKJGBKL,2021-04-12,1477560
KMTB00337484163463,021288267,ISUNGB5Y5O9,2012-05-23,53494
CQDK19652404841760,106481002,CDKKGBRH,2002-01-23,968876
ILTN26704900228304,033822404,VBULGBDB3TA,2010-03-07,335610
NLAY02773830094712,033712190,VKYQGBZB,2010-07-14,511976
EMHL06998008644647,044436504,GPFNGB6B,2006-10-17,81902
PEHZ04160380495178,012825529,YBXTGBV3SNM,2008-03-04,356849
DYNU79023554769023,055954415,TCQGGBAQFVW,2017-10-03,1058542
LWZI07343207934447,127856836,TQOEGB01,2005-10-25,434517
XTXS59104773455907,080996781,NKAKGBRE,2007-06-08,378031
QCVI16410565510258,052679447,SVREGBPC,2003-03-07,395704
DTPK63652174114354,055658986,EJVTGBI2,2009-07-18,1534286
LJIJ15422146675847,039565011,PYMVGBUG74K,2010-08-21,237785
HLUD65016874205746,109910075,LIFMGBUF,2005-08-30,1477008
UFZA13375964073867,116366764,ZZLBGBQCZFF,2008-04-12,264768
HTXR13597448819917,115707007,UKTPGB5E2CL,2006-06-13,1950347
OPQV97673317089550,017331665,EOSDGBBO,2006-04-28,1591975
IOGA36455629201381,129302524,FHSHGB56,2010-01-02,732163
ARYN71162844986779,111913248,HNRUGBGC,2015-12-17,695945
HWYQ93080281804789,053768865,ZVNVGB3OZ8V,2003-05-06,89073
PZHF89022252443304,012744752,KVAYGBB2,2009-10-29,1686795
AGHY01732845092276,026058874,QOVGGBDN,2004-07-30,1864450
AWGJ68361021586330,071399009,AVBYGBWVMU1,2004-12-21,353259
NFDG26580637705952,083464524,HNWLGB8S,2000-11-10,721736
HOBC56795232729704,107918477,UQKOGBED,2018-02-21,1520203
HKFO12406276643019,091395915,WMOIGBQ5DCB,2001-07-28,1223881
XXPZ35187182921294,073074115,IVAJGB2S,2016-03-06,489810
EQKP87061232654766,093804572,FYSZGBC4,2010-05-17,357917
SGRF99942792790506,113005808,FDQIGBN5X6J,2001-12-11,1903182
MVSN24986252986399,105718802,MOWBGBF8,2010-05-04,1815709
NEFD33065131681316,045203341,XYAPGBQYLHJ,2008-09-05,245589
RHQD38665800499437,057189916,QRUEGBQI,2009-03-15,1994255
DZDC94830931682549,118177799,UTCCGBQ3VFT,2008-05-07,239601
ACMA90371291905597,116174244,SXCNGBV0,2016-10-24,1310222
DIEO87331166818338,022110253,LIKMGBQ4KGO,2010-06-23,285720
YNKY15800712996846,035977166,IEPRGBN0,2018-05-06,356682
MHYU52721506645522,044562821,ROXDGB0G,2008-08-10,712919
IWXJ95239473225208,063657814,RJWYGB6Y,2005-08-06,761732
NYKE38810585317236,094242146,NTFDGBY0,2014-11-25,153861
JZCD13943661410385,085202603,KWPZGBY7AA4,2014-04-28,1149013
UAZB58337786059205,127403548,GBZDGB6B,2002-10-04,128736
QZIS32437087442934,127947211,SMCTGB14624,2021-10-01,1014675
QJLG48842530720248,032064852,TZUCGBLF,2004-11-29,494501
QQHP29895721074924,046007559,NBABGBIRL8K,2006-09-29,1887522
RQOR45023237711321,046460219,NDRTGB8OHG3,2011-02-01,163753
BHEG11107088403518,040598909,LQQBGBSLEAH,2015-12-16,1024874
KMMX07605639400390,012591769,KLOWGBI7,2018-07-26,1545875
XDNO69459676844912,061523571,FVOAGB74,2020-05-19,732575
CIOG81028666498468,071947448,LKEPGB2E,2003-01-15,1202441
EXXA53732581765967,121379018,QGMRGBYE,2017-11-16,582111
QGLF74720330823302,079987536,RBFKGBARMKC,2001-08-10,849369
DESS37101567249442,125999258,WYDBGBTW,2010-07-31,27997
XFZU24767382754558,118962027,XXGZGBLF,2002-09-27,240747
ZBEW12487797443737,107715793,EDPGGB4O,2003-03-18,751728
APKI78443365089760,113369625,JBRPGBNEF34,2017-02-06,1541812
JUFZ17125927656268,097874618,KCPZGBV5F4K,2001-02-21,381779
MJLK39352043250643,123526377,ERPIGBFB,2012-03-03,229579
OGEF88571045196358,013100528,SSKLGBQM,2021-04-20,463430
SDIG33297840762907,029372463,CGEQGB7J,2020-12-23,1307226
FSKI68721860900308,105475598,GRIPGBLT5AZ,2002-04-28,1422941
QHAH02052293955960,102160149,JBINGBIXI2D,2019-08-31,938830
PLIF81545778095114,077384513,TBELGB8F,2001-07-14,1697762
HRDO56687045790241,045561313,AGKSGBEE,2019-05-01,301711
OBUB24076844828892,063611410,INWEGBCW8RG,2016-11-24,831495
NHLR45694299811202,121604217,LEIAGBQHNIW,2017-03-04,85639
GCYR24559894736352,017907756,LFGWGBPV,2016-04-21,431702
DLBG30587384317620,110323868,NDKUGBWZAGH,2005-09-13,1872886
MWBR93297568367529,050339909,YKGJGBDK,2011-06-27,1914761
FFLV33888411380751,016019797,NISVGBX9,2005-04-12,1189183
RFAZ72798893409579,098503917,KANHGB0A,2022-02-21,1302256
ZMGX63127147053863,075058391,IZYTGB8469Y,2012-08-13,286770
FLJC52855539732461,112498254,WBLJGBMJ,2000-11-13,1917548
RYXX07824373823874,098185144,LAZTGBF6,2006-09-14,1634533
HCJG99035486896173,085559042,CMKAGB10X2G,2013-01-18,1658770
KMIC88587582350996,124928042,CGNNGBE16M9,2011-05-31,991077
XCAF72150964376511,110294447,VJAJGBJT4YF,2013-01-19,474212
QLKT44099846394329,069324235,GVMWGBD494P,2010-02-08,562133
XFYN93223519438219,032700006,ROWRGBMKG4I,2013-08-04,323413
ULVV26565379046795,034503557,MXDWGB8YWHQ,2001-06-08,1934302
COEB88868143215521,126686269,TAPBGBSM,2000-06-17,884279
SZCI26888054760328,079738390,IVVEGBKJ,2006-04-10,41420
YODA69798527222024,079404637,SJKAGBFMRLS,2008-04-01,773393
IRPC73387865116674,064673114,IOSWGBFU,2010-01-18,127993
XJTN02657070938340,114324287,VGVKGBE7,2010-01-13,1003050
AKIW72404071812464,093717711,ALCOGBFQ,2015-05-08,622562
TRHT55991033973546,112121819,ATDHGB0HX5C,2019-04-16,1569807
HMYW51079016696460,048134970,EZNJGBLS,2009-10-23,904133
HMHK03394111195477,020956875,JFBVGBTGEF7,2015-08-17,1647394
ELEY51144349667318,079706513,IHAKGBB7NRB,2015-12-11,1465619
ZHYL27617349776161,075438490,JTZHGBXSU9K,2021-08-14,1533850
EWGZ60871368494611,129925532,WNREGBZAOV5,2018-09-03,1361533
EKMO61966775805775,051078764,PFBKGBUIFW6,2010-09-21,897375
PLSJ64250691279191,072352621,BMXNGBH2,2014-01-16,1581466
IKYD69296847384530,033103262,XJYWGBF3,2015-03-22,306485
UPVQ48946970916571,040688071,BXJZGBYF,2003-10-24,1942983
GNEV28719945652958,026206422,ARYXGBN635R,2013-08-17,450806
NBMB25156067733034,100685134,EDEVGB57K53,2009-08-28,1914240
MRVT44098702538891,091445852,UACGGBXJLJW,2017-06-26,198100
CHYK13934292363734,106759501,TDJZGB8CBET,2007-02-18,80826
SPUE16949383869689,061529070,LSHCGBSX,2014-06-07,870691
UAFV04963893104235,045463479,WMQGGB6Z4R3,2007-03-17,242427
OYBL36280000512390,027262407,CXUNGBEH,2018-09-14,1791856
HGVC72194929054255,031392017,IIIFGB36,2016-02-28,1271718
UJAA51190814246350,103213671,YNIBGB6T,2003-12-02,1220940
DWCR52182253969814,022514202,ITCJGBNZ,2011-03-02,1031813
YMXH19690029303276,054165441,HLRIGBC2,2016-07-02,1154371
BOZA70236205859170,042802415,HAOPGBS5,2008-06-12,1503007
HYFB76218409248222,054847170,TRCLGBA1C11,2018-03-04,1368904
QVBQ66812875974149,119296462,HWEMGBKD,2011-12-19,1489348
LQQF85301093832918,073141048,SKENGB1U,2010-07-13,72139
NOJG96002956019428,054083484,AIIEGBRS,2014-06-07,1314788
XDSL07809025672557,049854547,PZHTGBO6,2005-09-21,1049127
RUZB09651805879421,062453132,PSUFGBHY,2022-09-23,1052057
NTLT11872945398584,033437747,ZFNRGBWINWW,2019-07-18,1288491
LZSI19716604769941,051387222,DCMCGB4J,2014-04-28,761092
WHGZ02666543644763,019940818,MNPPGBGM,2001-05-19,1313001
HUUZ87931537967280,058285343,QNGHGB7E,2019-03-17,1376657
YTDB19373183145038,048673541,TGHZGBMZ3XI,2018-12-30,1376404
ODAB39645452943862,104670132,MYJSGBEMQSU,2000-12-07,54186
PGHJ39704806393380,055315083,CUCUGBVN,2001-11-14,1956597
YGDQ34847360714531,107706744,DIITGBCD,2008-12-29,1931802
VQGS87873483582804,034270262,UHWWGB2U,2002-11-07,1373093
VOCR84214667711994,066939322,LYLUGBWO,2016-02-15,1871417
NYVN35465524168795,094314511,TTNSGBDL4CY,2016-09-02,1431415
HYRT13503498686769,060967387,DGBEGBUL9E7,2006-11-13,1052850
NGYY85511723467686,091766379,KGNIGBI70Y2,2017-09-23,123077
EMEJ67905951014942,076388183,ALJXGBTAEBI,2014-06-28,1276031
LJZE70824323755669,122617850,NZSNGBP4,2017-11-17,424496
ANVC05793616153762,045033058,ZJCCGB6NYLJ,2008-12-18,1514125
GMDZ43090821047266,077730756,NMEQGBK7OA2,2009-06-11,1233239
ZJGT02312402932355,051328317,KEPSGBGM73N,2003-04-19,850917
WUID81982140204394,048519919,BEMUGBWM,2017-10-08,1310848
CMZO64011047789353,115231560,HWOMGBQ8N10,2012-12-22,1086922
PRCI23557391570163,035752310,CDHLGBXF7IL,2011-03-29,1713680
QIOK96495859802895,063220474,UPBIGBIE,2020-10-25,1364929
UOIH17449189991636,029048292,BMUIGB2E,2020-04-29,1299761
KJDH84721824818038,017213848,WHBRGBUF,2010-11-27,1249804
NQLG65517200863546,099739683,NLVOGBFA,2021-10-04,1213575
AJPH80999891985184,043964190,EXUKGBCD,2009-08-20,688507
THAK60697749599626,072120772,VTWMGB30,2018-08-02,326446
JQRQ57058737722203,047503379,BIQLGBYZ942,2001-07-26,847283
UZTX74024891583494,016335332,YMADGBMM0U4,2002-06-08,1932593
PIUD08778134279528,117526435,EDOFGBEN,2021-03-13,989381
GDZH69825986635813,055051075,WHBOGBM3XCX,2017-06-12,1086523
GKNN19030804563117,063736081,QJNWGBUQ,2012-08-27,870854
WZAV66263231397452,042230265,ONXMGBNNXU2,2016-01-12,1482398
VQGT45406288681235,035057581,QIAAGBTS,2001-11-26,1659183
NFDC50571574542852,050604553,YZOSGBOX611,2014-08-12,1737008
KVTD24398112893779,110406170,XEENGB9F,2019-10-19,1994376
EHJR08159022153538,083366046,EUYBGB98844,2010-08-11,1445598
BYCB70337615934474,039314796,VPAMGBOM,2021-03-05,1468993
BBQG61587930222587,092000115,VQXSGBQRPME,2010-04-05,506828
LOOW33064438636734,055882723,KQRAGB5RWJY,2017-03-23,1979842
VEFL53870636252724,063475229,NNKTGBAIBT2,2003-10-06,1515436
ZBQA10918897658416,053075943,ZLOMGBZ6,2018-11-23,718608
TMLQ57991414864554,034944828,TOGHGBAQ0MP,2001-03-07,1351703
RNXZ34419534020389,011265740,JATHGBHXAP7,2009-07-09,309704
GVCN05725713133053,037452977,LWGLGB6M,2000-02-05,972484
DDVJ46722688007116,037346999,WBQCGB5ACZ7,2015-06-12,346439
AKVI17653019207073,075010038,QFKWGBJUW5D,2005-03-26,1490519
EKYG52487543758063,089065985,UINBGBOERQ0,2002-03-10,1925140
WCBD60197973864218,031735645,OTTZGBOG,2019-10-06,499610
HTNF06153628461039,095961756,SZJEGB05O5I,2022-05-24,511155
EQKD07111931626110,092719477,DXIQGBHQ,2016-04-16,1018355
QKEG04398514802696,115580774,WGVOGBAXA2O,2010-09-07,1793685
ZRVD06877018625046,072629529,DCRTGBNF,2011-06-08,1749513
TUFM57238408238882,087266032,OWVYGBEAL7J,2008-12-06,1103588
KIVC62394243189676,048068240,WLBJGBJ6,2017-02-10,1115806
GYYL07690113881997,110696391,HLTOGB5UJKI,2013-01-08,1995669
QDQF09980192881306,108550410,OFVLGB2D4HP,2016-10-24,1260807
MJXJ02287791175013,069456750,LTZSGB5F,2008-12-31,329042
NHRL43060808398723,028289926,LDYHGBOC,2007-08-11,412254
ZEFA08267138424647,024733379,XLWYGBH6,2019-02-22,520256
AKZI74859879119540,093946786,HIOPGBU5,2006-05-06,1071622
CTXF86814972023891,111419687,CMVNGB8T17B,2006-11-11,1537626
QJAT42703658403489,099976019,VQWAGBLN,2012-06-24,853623
RGII95922546076148,053428273,XVMKGB3UOZF,2022-06-12,207483
RBYZ21998169720374,040091600,IJHKGBVO,2003-06-26,1530693
HFKM84869360071212,015653879,NQMYGB758RA,2007-12-06,1608743
BWVP00449491707737,071105303,RXMSGBNG,2005-04-21,1468397
XVMV99004211000302,060163550,LNFCGBY3I28,2003-11-28,1080009
RVUL44336092481507,106110276,UWDQGBOSTRJ,2002-05-16,1674185
IFTO65934171662831,095100546,NHJNGBJP,2016-05-25,1210045
GDBK06212710757286,112774994,UBWGGBPQ,2018-11-27,1879230
KFIE51667446130344,084865546,UYDPGBOUJXQ,2007-06-04,368667
TLER56451803378756,047834420,MUBMGBPPX7O,2012-01-31,1512814
AQJQ45008067037969,014763359,HHAFGB3NIUO,2017-05-03,1781432
DNCT16190821106079,123927536,DEMDGBL1MG5,2006-11-21,1117185
MEIR01211719370930,079376008,IXMYGB2Y,2013-07-26,1285917
FJMS38549894295612,059423829,QMKCGB36,2020-01-11,1903389
HODR99630143817946,088388126,CWVWGBUJDTN,2012-05-21,1382410
ZYHH34071109440819,015912507,BZFSGBT327H,2005-02-07,1667880
QPTX39372653271442,052310609,UENGGBBZ,2017-03-16,56691
ZHBY81160837873471,040107581,YSOYGB7B6GX,2021-05-12,1935967
EQLL23032257148220,081676916,FXARGBN6OJI,2021-12-17,5099
NTSB36259348449070,079463775,YHMQGBWD,2013-10-30,580196
GGOI22401175784254,128280854,HRUBGBLFYVD,2001-01-25,520764
RVVG34301134972578,076455090,YOPIGBZ4N6I,2022-10-06,282230
VBMV77415475312230,049328264,JLYEGB9N43Z,2000-12-16,1490677
PEQY65161676311023,075225551,RQJFGB0DL19,2014-10-24,1456632
BCNX88872988163646,124397686,FWSSGB60QZ5,2003-06-30,940315
ILWA45665100494820,064216416,AEGSGBJM,2012-10-06,622569
FNNI92572329630215,070307212,SXSEGBY3GZV,2007-05-30,1193762
HBHH87767681923039,109323112,EHGVGBHMYEK,2021-06-03,1232422
JTWA07620302539651,098194041,CRRCGBUDYBL,2018-11-03,1707198
NVKE66784611385028,089740190,OJUYGBZP,2012-06-11,123955
NSMF14069985072712,012208531,FNLMGBZA,2001-02-25,95631
KDXI76784548611409,019458685,IYRHGBIH,2019-03-16,1905703
HAHL68044599877099,013278214,GECOGBGX,2021-01-18,1321
VMNP25963567679233,083604876,TAUKGBTW,2001-08-21,944643
XKSX65404581587663,122775080,VBIDGBGP,2004-03-29,1113751
UOVQ12269093990430,103831095,APDYGBODOWM,2000-07-02,1180262
LBHS96203441375223,027350461,XTAYGBLFQ5Z,2014-11-18,225548
PGKO21761096649204,026876535,RAASGBCD,2000-10-30,1985421
IFHM34044630976783,108388970,NDFSGBOX,2008-08-18,1885328
HLKF66560592451449,072997743,SRXKGBBFSMQ,2000-12-31,573064
DXHE74432736118945,110930659,XPUPGBFOQV5,2008-12-23,1399240
GNXX74932134675770,108621187,WGHCGBET,2002-07-02,1276223
KIOC33312468092470,084634735,EFWZGBGPNRK,2003-11-07,787906
XGCW15496279799173,075119900,LODYGBF6,2004-09-25,244586
YQBJ78685671454307,018227930,YNSOGBF3EBH,2012-04-12,1335383
XGMR82088245618603,117696983,NOLQGBDH,2002-10-31,1036975
SLAW88923974252822,111032721,YHQPGBSWN9E,2004-07-23,249016
QLJT10696124396389,069914234,ENGEGBJQ,2016-10-22,259605
HKNV09301765522488,087090172,WNAHGBI1,2003-09-28,1317259
DDOP39920982764846,094669567,WKHIGB7A,2000-08-31,1169349
GSHP69974285041169,076124596,GUEEGBEO,2016-10-10,1882597
EKTX64087876957784,105627508,APAWGBQ8WGB,2021-06-13,1056481
IQFW58426838534711,110486255,DOGFGB1T,2010-02-06,1740323
AQCM01447598958659,114818913,URRHGBZW,2000-01-07,402673
CAAC56946459013172,124129443,NBHOGBJ49C9,2017-12-19,928984
XQYQ44613185141654,095293097,QOSFGBK8,2013-04-17,848910
NTYP10233499442028,032298275,FWZJGBY1,2019-07-07,290291
XFFQ53721394564882,099540018,LDXLGB1RK09,2017-12-02,1588682
IJWX05562838851708,048328391,SWPIGBLDJQB,2007-09-20,923561
BTHP24397230995889,022582580,CIBJGB9T61L,2009-12-18,1745317
RWYI84472240903504,069860634,JSYNGB6Y,2011-09-07,1935601
XNSH21263862026634,053146445,VLNRGBCN,2009-12-06,1756919
OKOV75740885094529,106046298,SGRFGBNE,2008-11-14,1826273
EHLB49864536014551,119636857,RYHKGB6JNUT,2005-12-09,12497
ZWCS24636210877740,110740069,WGKXGBIWXR6,2000-06-08,1728259
TBST48397253285658,103291981,ZFJGGB60,2021-06-07,531294
ERLN15152684664543,057266703,VDENGBE2CV6,2004-01-03,1947683
UHZI92018495205270,034444797,DOOZGB18A3Z,2014-08-02,1005048
HCCF44104256477896,054210558,GOLSGBSF,2007-06-29,844664
RHMF01737277184110,035250812,DEXPGBES,2016-11-07,960159
UPFX46186620307789,122091706,QCMGGBQRGAA,2009-01-31,247013
OYIY53142498094028,059779463,ARXBGB7G,2015-08-09,937928
YGIK01557950138969,036365146,ZKSEGB54WSW,2006-05-06,965074
LKTY90442659504792,054660425,GRVXGBHN,2005-08-21,1071189
KSWI46009943032277,042966380,MJNBGBUH,2018-05-22,1577757
CJQH93447574370708,083738344,CDSMGBK056Z,2002-03-06,1410495
NVRI15241303325781,016790948,DXYZGB41,2005-08-18,1171081
KLXK38879453632779,011675974,SKVBGBVG,2007-03-25,379427
JLDE79197081706824,013981077,PPEZGBL5,2004-10-26,870400
MKPU78702056621224,023774517,KBJMGB3R,2021-05-29,635319
VEDN46872077081414,023143627,HCOXGB4K,2008-07-31,747241
CEOR55245106064224,077868961,ASEAGBR82XR,2021-02-18,1850756
VXDQ82894830666402,013933575,YVLEGBFF,2022-07-12,1670309
QWDE78753699253732,079777102,HDBTGB4W,2005-03-31,629650
WXBC50928025458946,096296093,DXXFGBS6XTS,2013-09-13,1980570
IDCV70157127895534,123800158,UBENGBPO,2017-07-08,1606382
EILX93130562025238,029553855,PFHGGBR5,2010-01-17,194263
GYCB61927501980824,010067237,SNAXGBSJ,2000-05-26,293119
VZUA67282461393365,101416519,KSJJGBTF0H7,2005-12-11,425319
CGVE29605267811042,088046264,ZVPTGB2VOH6,2006-10-03,428968
CLVG05690264433519,037643320,OWXRGBN178C,2004-06-25,1501097
PSLO47201788114691,117125917,ZZXKGBUI,2008-12-06,160517
WMQR45576115079024,109407892,NCPLGBS3,2013-04-19,1729133
QZWN71899864838611,092678945,HEXOGB43Z40,2015-05-13,250473
HYEZ06938618338687,041679115,MUHGGB7H,2022-03-09,1629788
JYTO67918669759713,059279866,AOTRGBPW,2019-06-23,897403
GYRJ55508116154605,068772778,RNDVGB22X6I,2017-10-21,1097781
IAVU45218481976698,109039532,WLWRGBPRKOG,2013-03-09,1295181
VXMQ94913930597194,015277129,KJMPGBKE,2012-02-04,1306188
HTLU34623799194934,066264194,LLGBGBCB,2021-01-02,971223
SWJL25684415552296,044938358,VMRTGBT0NI0,2010-04-15,758709
DHFC27474481624442,063515558,ZOIAGB3K,2009-09-12,1074429
BPEL77770887544493,040940874,RIYPGBMZXJA,2008-02-04,807849
ZCXC06521616582286,114675855,MNZTGBA1XRA,2015-11-26,493648
UCQY59087051982877,073936486,YNRNGBNS,2013-02-15,1204042
ZLCQ10428323417982,119175745,FDPUGBPC,2020-04-26,173167
VESO87904162929374,072001312,NVBUGBX4GVF,2002-09-28,538244
BIOE83240235181952,076097225,QBMKGB38,2021-05-02,187296
HLGF10136070360162,089420355,SDUTGBFI,2003-07-25,539296
TMXE69108157534903,016110146,FNOSGBXD,2015-06-03,18142
UHEE61582793712391,100143414,LVBXGB9T,2000-07-08,588775
ZJGE80513682492867,012309553,IRTJGBJB,2010-06-16,103166
WNLG94257608680795,053981024,DFYSGBN9,2008-01-29,563387
NUEC35843683864682,094557763,THNMGB3A,2003-10-19,1206678
DCOH24150106300301,027193369,SFDLGBFOUCO,2021-10-28,1779108
ODKS27093305126587,128531477,JNVXGBPWRB6,2012-08-22,1791858
KHFE54643453828180,072311866,MBGLGB42,2012-01-19,1365841
EHXV57290707884490,122261989,SGISGBTT,2021-07-16,1456030
WSBW35385992497877,111563562,BQJSGBC6M73,2010-03-28,810258
DFEU42481886840590,110090531,DDBLGBRU3D5,2017-02-21,1526883
IAFE11170333556417,028432511,UTLEGBY0,2002-11-11,1879767
VJAG90914615828346,020521404,YITJGBFO,2000-08-06,1068031
SIRA78507712847361,016369777,YKHCGB0L7XL,2021-07-28,1352253
AWSN09722240619594,075830807,XXWAGBELYZW,2010-10-26,1977301
OVTS46840435434787,023146255,LFNOGBC7,2006-11-23,408027
BAOC49057426886202,025338579,UKIFGBJ2IWA,2000-01-17,800760
BKXE39396373744027,026449894,UKSEGBOX,2010-07-13,1758385
XPWO88565761470678,040029083,GMCPGBXG,2011-02-14,565728
DVLE51661317740769,026786599,YJAOGB8Z,2001-07-12,1614953
YFFN46316998789882,026164289,LPLJGBC6,2013-02-01,842541
AQXU62893348514786,067194865,GYZYGBLMH0S,2006-04-08,986324
ILOQ63808050760738,082523770,HGFZGBR4,2005-07-14,698648
IUZF39085579246402,066611611,XREUGBHU,2020-01-16,560503
ENYF97910357005571,116856876,CHHSGBBV,2021-06-30,74107
QCYX95275639073961,014088131,XZWOGBBC,2020-09-29,777247
DLFK97382428784912,114950020,UIAKGBPX,2001-10-12,1512053
VORB75393744725716,060970714,JFEDGBUTTEL,2011-06-05,1667262
YOMS11818601557623,057332886,MDKCGBN0,2011-08-12,418020
XOOD83254273871613,096291742,HSIDGBGUYKO,2004-05-30,131952
JTLJ06645711380867,125944038,KYQUGBZA,2008-03-14,1159985
RMRD81441858421605,090230990,EVZWGB3F,2016-11-29,1077286
WMQC30880238756973,051416449,SNKLGB1D,2006-08-01,536657
FZAR17402035756262,078708363,ZPDYGB2C,2016-02-09,1304274
XAEG21754347227027,085343915,AJFWGB0HG5E,2006-04-09,1342551
BOZK23185576353052,105232362,YGZRGBG7,2005-12-09,1878505
SWJT35440138126845,040474463,FFPGGBF6,2004-08-12,1592811
RCIQ35426378955998,119048872,GVHGGB1Z9QL,2019-07-01,1175762
ISCM77633324127702,019086044,BNIWGBF8FKW,2015-07-15,978972
TJXH61906903948170,060773856,DFNQGBN9FQO,2012-08-05,685226
EUCG16780184452799,028577793,NVCEGB6W2JA,2009-01-28,132024
TDAQ47495156529286,102622412,NDYDGBXU,2019-10-06,969210
WFLI31875024656930,110745200,MXEDGBORLVW,2020-03-11,1873882
BEWR25130228003423,011484178,ZBZKGBFIFOT,2016-11-07,1794405
RMMH02192930472182,128915776,NHTVGB52,2003-03-29,149488
BYTU78861094559372,029593789,EPBBGBKZ,2004-03-31,989722
AGTN77756980284564,032442487,ETFYGB2ETRZ,2012-04-13,1117738
HZPV85032303910407,117083062,COAGGB3P,2012-03-30,1272172
PWBY11041590624597,059706371,XOKIGBVLC9X,2015-06-21,1509417
AYUR54712082772879,065631265,UWGUGB85,2002-03-18,708590
PKCU68231496377302,097204563,JVZMGB5Q,2022-09-01,971493
CNGS50435432628830,063908259,DZWNGBJB,2010-01-25,144670
VJEJ14560163340784,056222832,FPRIGB2UMAA,2006-02-21,1892358
QTBN37408687210891,083821808,UDAOGBK1PXV,2003-04-10,1673570
TDSC17188610844207,020013860,HESTGB5N,2020-07-17,734762
DZEF97747444403432,018322961,OMBHGBB3,2019-03-28,1837463
AEBA47095966782900,101050409,RVLSGBOZ,2006-12-09,1103225
CTHM61342771240734,097565972,AIUYGBK9,2014-10-27,1298444
EBZI80227017464537,059584276,DMLNGB7K,2002-12-04,1370171
DMTW39678258965299,078059300,FVSTGBDV,2012-02-28,1133513
DMDX49181040590153,074960121,OFQDGBA5,2010-10-27,1642485
SKZB57340440693958,076476105,QFKSGBQU912,2004-03-13,1301244
MWCP89718518308162,058543124,BCBLGBSIQUI,2001-07-11,1645008
JGJJ32180477399025,080484099,XMETGBD3CGR,2005-03-06,1587686
DWPG03865787213396,037600606,ZVECGBZZ66X,2002-04-21,830146
UNPV17325021614337,058602939,ASJMGB7VG9O,2015-06-20,313380
KUTA75106261994085,057827320,MYRPGBDXWHO,2008-01-13,634705
XBZP85587884644370,033122528,XYEFGBG7,2010-11-24,45737
YTZJ24336280866879,127039378,DSVFGBOG,2004-02-09,1682397
LGVB67837399814741,071497574,IZFSGBPYLZN,2012-12-30,1709132
JHXZ39876138668532,045157895,OKTJGBIWN1B,2005-09-02,895810
YYDB46575381784127,128812390,DCMYGBQE,2022-10-05,943292
QCYX71263792816282,032895814,GJGOGB73TBP,2004-02-15,778101
NRNJ04150682236793,090804766,YBXVGBK8Q7G,2000-11-12,850830
NUVJ79072165061981,071883036,JKFQGBW1UNQ,2009-06-27,1380769
PBPC01166519466629,033185646,PSFYGBDF,2013-01-16,655644
PKVZ96276381773720,129729220,OHUZGB5Q,2017-10-13,695968
VFXH38662165671661,042311045,NBEDGBCS,2016-04-19,206723
LREK25516599473697,082503266,UWWBGBDZ,2017-08-26,660894
ZOCS31258439670443,118325994,LVPYGB2L,2007-09-20,1800363
JIAI60203021532498,113513798,KUUOGBP04QW,2019-07-30,621334
AKHN05470092628904,082110387,QSMAGB8CJ94,2018-08-03,1203420
RTGA14892461837857,104171644,PDNAGBNU,2011-11-29,352643
PJDJ08536516590907,105596338,NNCQGBYY,2021-01-03,370410
